学号,姓名,1.1 探索勾股定理_作业等级,1.1 探索勾股定理_课堂任务单,1.1 探索勾股定理_改错情况,1.2 一定是直角三角形吗_作业等级,1.2 一定是直角三角形吗_课堂任务单,1.2 一定是直角三角形吗_改错情况,1.3 勾股定理的应用_作业等级,1.3 勾股定理的应用_课堂任务单,1.3 勾股定理的应用_改错情况,第一章 勾股定理_单元检测成绩(测试),2.1 认识无理数_作业等级,2.1 认识无理数_课堂任务单,2.1 认识无理数_改错情况,2.2 平方根_作业等级,2.2 平方根_课堂任务单,2.2 平方根_改错情况,2.3 立方根_作业等级,2.3 立方根_课堂任务单,2.3 立方根_改错情况,2.4 估算_作业等级,2.4 估算_课堂任务单,2.4 估算_改错情况,2.5 用计算器开方_作业等级,2.5 用计算器开方_课堂任务单,2.5 用计算器开方_改错情况,2.6 实数_作业等级,2.6 实数_课堂任务单,2.6 实数_改错情况,2.7 二次根式_作业等级,2.7 二次根式_课堂任务单,2.7 二次根式_改错情况,第二章 实数_单元检测成绩(测试),3.1 确定位置_作业等级,3.1 确定位置_课堂任务单,3.1 确定位置_改错情况,3.2 平面直角坐标系_作业等级,3.2 平面直角坐标系_课堂任务单,3.2 平面直角坐标系_改错情况,3.3 轴对称与坐标变化_作业等级,3.3 轴对称与坐标变化_课堂任务单,3.3 轴对称与坐标变化_改错情况,第三章 位置与坐标_单元检测成绩(测试),4.1 函数_作业等级,4.1 函数_课堂任务单,4.1 函数_改错情况,4.2 一次函数与正比例函数_作业等级,4.2 一次函数与正比例函数_课堂任务单,4.2 一次函数与正比例函数_改错情况,4.3 一次函数的图象_作业等级,4.3 一次函数的图象_课堂任务单,4.3 一次函数的图象_改错情况,4.4 一次函数的应用_作业等级,4.4 一次函数的应用_课堂任务单,4.4 一次函数的应用_改错情况,第四章 一次函数_单元检测成绩(测试),5.1 认识二元一次方程组_作业等级,5.1 认识二元一次方程组_课堂任务单,5.1 认识二元一次方程组_改错情况,5.2 求解二元一次方程组_作业等级,5.2 求解二元一次方程组_课堂任务单,5.2 求解二元一次方程组_改错情况,5.3 应用二元一次方程组_作业等级,5.3 应用二元一次方程组_课堂任务单,5.3 应用二元一次方程组_改错情况,5.4 二元一次方程与一次函数_作业等级,5.4 二元一次方程与一次函数_课堂任务单,5.4 二元一次方程与一次函数_改错情况,第五章 二元一次方程组_单元检测成绩(测试),6.1 平均数_作业等级,6.1 平均数_课堂任务单,6.1 平均数_改错情况,6.2 中位数与众数_作业等级,6.2 中位数与众数_课堂任务单,6.2 中位数与众数_改错情况,6.3 从折线统计图可以看出什么_作业等级,6.3 从折线统计图可以看出什么_课堂任务单,6.3 从折线统计图可以看出什么_改错情况,6.4 数据的离散程度_作业等级,6.4 数据的离散程度_课堂任务单,6.4 数据的离散程度_改错情况,第六章 数据的分析_单元检测成绩(测试),7.1 为什么要证明_作业等级,7.1 为什么要证明_课堂任务单,7.1 为什么要证明_改错情况,7.2 定义与命题_作业等级,7.2 定义与命题_课堂任务单,7.2 定义与命题_改错情况,7.3 平行线的判定_作业等级,7.3 平行线的判定_课堂任务单,7.3 平行线的判定_改错情况,7.4 平行线的性质_作业等级,7.4 平行线的性质_课堂任务单,7.4 平行线的性质_改错情况,7.5 三角形内角和定理_作业等级,7.5 三角形内角和定理_课堂任务单,7.5 三角形内角和定理_改错情况,第七章 平行线的证明_单元检测成绩(测试)
36,测试学生36,A-,优秀,优秀,A,良好,优秀,A+,良好,优秀,132,A-,良好,优秀,A-,良好,良好,A-,优秀,良好,C,良好,优秀,A+,优秀,良好,A-,良好,良好,未交,未交,未改错,131,A,良好,优秀,A,良好,良好,A-,良好,良好,150,A,良好,优秀,A-,优秀,良好,A,优秀,优秀,A-,良好,良好,129,A,良好,优秀,A,优秀,良好,A+,良好,良好,A,良好,良好,150,A+,优秀,优秀,A+,优秀,良好,C,良好,良好,A,良好,良好,138,A,良好,良好,A,优秀,良好,A,优秀,良好,A+,良好,优秀,A,良好,良好,150
37,测试学生37,A+,优秀,优秀,A,良好,优秀,A+,良好,优秀,132,A-,优秀,良好,A-,良好,良好,A+,优秀,良好,A+,良好,优秀,A+,优秀,良好,A+,良好,良好,未交,未交,未改错,132,A,良好,良好,A+,良好,良好,A+,优秀,优秀,133,A-,优秀,优秀,A+,良好,良好,A-,优秀,优秀,A-,良好,良好,145,A,优秀,良好,A+,优秀,良好,A-,优秀,良好,A-,良好,良好,139,A,良好,良好,A,优秀,良好,A+,良好,优秀,A,优秀,良好,128,C,良好,优秀,A,优秀,良好,A-,优秀,良好,A+,良好,良好,C,优秀,优秀,130
38,测试学生38,A,合格,未改错,B-,未交,合格,C,未交,未改错,63,C,未交,合格,未交,合格,未改错,未交,未交,合格,C,不合格,未改错,C,未交,未改错,未交,未交,合格,C,合格,未改错,72,未交,合格,未改错,B-,合格,未改错,未交,不合格,未改错,77,A,未交,未改错,未交,合格,合格,未交,合格,未改错,B-,合格,未改错,85,C,不合格,合格,B-,未交,合格,未交,未交,未改错,C,不合格,未改错,88,C,不合格,合格,C,合格,合格,B-,不合格,未改错,B-,合格,合格,77,B-,未交,合格,未交,未交,合格,未交,合格,未改错,未交,合格,合格,B-,未交,未改错,72
39,测试学生39,A+,良好,良好,A,优秀,优秀,A,良好,优秀,133,A+,良好,优秀,A-,良好,良好,A-,优秀,良好,A+,良好,良好,A,良好,良好,A,良好,优秀,A+,优秀,良好,150,A-,良好,良好,A+,优秀,优秀,A,优秀,优秀,140,A+,优秀,良好,A+,良好,优秀,A+,优秀,优秀,A+,优秀,优秀,127,A,良好,优秀,A+,良好,良好,A+,优秀,良好,A-,优秀,优秀,145,A-,良好,良好,A,良好,优秀,A+,优秀,良好,A-,良好,优秀,141,A-,良好,良好,A,良好,优秀,A+,优秀,良好,A-,良好,良好,A,优秀,良好,139
40,测试学生40,A+,良好,优秀,A+,优秀,优秀,A,优秀,优秀,150,A,优秀,良好,A+,优秀,良好,A,良好,优秀,A,优秀,优秀,A,良好,优秀,A,优秀,良好,A+,良好,良好,129,A,优秀,优秀,A,优秀,良好,A-,良好,良好,149,A-,良好,良好,A,良好,良好,A-,优秀,优秀,A-,良好,良好,136,A-,良好,优秀,A,优秀,优秀,A,优秀,优秀,A,良好,优秀,137,A,良好,良好,A-,良好,良好,A-,优秀,优秀,A+,优秀,优秀,129,A,良好,良好,A-,良好,优秀,A-,优秀,良好,A-,良好,良好,A,优秀,良好,134
41,测试学生41,未交,未交,合格,未交,不合格,合格,A,未交,合格,72,未交,合格,合格,B-,未交,未改错,未交,不合格,未改错,B-,不合格,合格,A,不合格,未改错,C,未交,合格,未交,未交,未改错,67,C,未交,合格,C,合格,未改错,A,未交,未改错,72,C,不合格,合格,未交,不合格,未改错,C,合格,未改错,C,未交,合格,69,B-,不合格,未改错,未交,未交,合格,未交,合格,合格,未交,不合格,合格,77,B-,合格,未改错,A,不合格,合格,未交,不合格,合格,B-,合格,合格,87,B-,不合格,合格,B-,未交,未改错,未交,未交,未改错,B-,不合格,合格,未交,合格,未改错,89
42,测试学生42,C,合格,合格,未交,不合格,未改错,B-,未交,合格,82,B-,合格,合格,B-,未交,未改错,C,不合格,未改错,B-,未交,未改错,C,不合格,未改错,B-,合格,未改错,未交,合格,未改错,76,未交,未交,合格,B-,未交,未改错,B-,合格,未改错,85,A,合格,合格,未交,未交,未改错,未交,未交,未改错,未交,合格,未改错,92,A,合格,合格,C,不合格,未改错,A,未交,合格,B-,未交,合格,90,B-,未交,合格,B-,不合格,合格,C,合格,未改错,未交,不合格,未改错,74,C,合格,未改错,未交,不合格,未改错,未交,未交,合格,C,合格,未改错,C,合格,合格,68
43,测试学生43,A,优秀,良好,A,优秀,优秀,C,良好,良好,139,未交,未交,未改错,A,优秀,良好,A,良好,良好,A,良好,良好,A-,优秀,良好,A,优秀,良好,A,良好,良好,139,C,优秀,优秀,A,良好,优秀,A+,良好,良好,137,A-,优秀,优秀,A,良好,优秀,A,良好,良好,A+,良好,良好,144,A,优秀,优秀,A-,良好,优秀,A,优秀,优秀,A,良好,优秀,133,A,良好,良好,A+,优秀,良好,A,优秀,良好,A+,良好,良好,127,A+,良好,良好,A+,良好,良好,A,优秀,优秀,A+,良好,优秀,A+,良好,优秀,145
44,测试学生44,B+,合格,良好,B,良好,合格,A-,合格,良好,107,B-,合格,良好,B,良好,合格,A-,良好,良好,B-,合格,良好,B-,良好,合格,A-,良好,合格,B,良好,合格,102,A-,良好,良好,B,良好,良好,B-,良好,合格,100,B+,合格,良好,B-,良好,合格,B+,良好,合格,A-,良好,良好,116,A-,良好,良好,B+,合格,合格,A-,合格,合格,A-,合格,良好,134,B-,合格,良好,B+,良好,良好,B,良好,合格,B-,合格,良好,113,B+,良好,良好,B-,合格,良好,A-,合格,良好,B,合格,良好,B-,良好,合格,113
45,测试学生45,C,合格,合格,C,不合格,合格,未交,不合格,合格,78,B-,合格,未改错,未交,未交,未改错,C,合格,合格,B-,未交,未改错,未交,合格,未改错,A,不合格,未改错,C,未交,合格,75,未交,未交,合格,C,不合格,合格,C,不合格,合格,77,未交,合格,合格,未交,未交,未改错,未交,不合格,未改错,B-,合格,合格,70,B-,未交,合格,未交,合格,合格,B-,未交,合格,A,合格,合格,65,C,不合格,未改错,B-,未交,未改错,B-,合格,未改错,B-,合格,合格,47,B-,合格,合格,B-,合格,合格,B-,未交,未改错,C,未交,合格,未交,未交,合格,71
46,测试学生46,A-,合格,良好,B+,合格,合格,B-,合格,合格,110,B+,良好,良好,B-,良好,良好,B,合格,良好,B,合格,良好,A-,合格,合格,B-,合格,合格,B+,良好,良好,120,B,良好,良好,B,合格,合格,B+,合格,良好,131,A-,良好,合格,B+,合格,合格,B+,合格,良好,B+,良好,合格,110,B+,良好,良好,B+,良好,合格,B,良好,良好,B+,良好,合格,117,A-,合格,合格,B,良好,良好,A-,良好,良好,A-,合格,良好,122,B+,良好,合格,A-,合格,合格,B+,良好,合格,A-,合格,良好,B+,合格,合格,110
47,测试学生47,C,不合格,未改错,未交,未交,未改错,C,合格,未改错,78,未交,合格,未改错,B-,合格,未改错,未交,未交,合格,C,合格,合格,C,不合格,未改错,C,不合格,合格,B-,不合格,合格,82,B-,不合格,未改错,B-,合格,未改错,C,未交,未改错,84,未交,不合格,未改错,未交,不合格,合格,B-,合格,合格,未交,未交,未改错,83,B-,合格,合格,未交,合格,未改错,B-,不合格,合格,A,未交,未改错,78,C,不合格,合格,A,未交,合格,C,不合格,未改错,未交,不合格,合格,80,未交,未交,未改错,C,未交,合格,B-,未交,未改错,B-,未交,合格,B-,合格,未改错,95
48,测试学生48,B-,未交,合格,B-,合格,合格,C,未交,未改错,84,C,合格,未改错,C,合格,合格,B-,未交,未改错,C,合格,合格,C,不合格,未改错,未交,未交,合格,C,合格,未改错,99,B-,不合格,合格,B-,合格,未改错,C,未交,合格,83,B-,未交,未改错,B-,合格,未改错,C,不合格,未改错,B-,合格,合格,86,B-,合格,未改错,C,合格,未改错,未交,未交,合格,C,合格,合格,91,未交,未交,合格,B-,不合格,未改错,未交,合格,未改错,B-,合格,未改错,91,未交,合格,合格,未交,未交,合格,C,合格,未改错,B-,不合格,未改错,未交,未交,合格,84
49,测试学生49,A-,良好,良好,B-,良好,合格,B-,良好,良好,100,B+,合格,良好,A-,合格,合格,B,良好,良好,B,良好,良好,B+,良好,良好,A-,良好,合格,A-,良好,良好,110,B-,合格,良好,B,合格,良好,B,良好,良好,111,B,合格,良好,B+,合格,良好,B-,良好,良好,B,合格,合格,102,A-,良好,良好,A-,良好,良好,B,合格,良好,B-,合格,合格,111,B+,良好,合格,B-,合格,良好,A-,合格,良好,B+,良好,合格,119,B+,合格,合格,A-,良好,合格,B+,良好,良好,A-,良好,合格,B-,合格,合格,102
50,测试学生50,C,未交,合格,C,合格,合格,C,不合格,合格,75,B-,不合格,合格,未交,未交,未改错,C,合格,未改错,B-,未交,合格,未交,合格,合格,未交,未交,未改错,未交,不合格,未改错,85,未交,合格,未改错,未交,合格,合格,B-,合格,合格,86,C,未交,未改错,未交,不合格,未改错,未交,不合格,未改错,A,不合格,合格,83,C,不合格,未改错,未交,未交,未改错,C,合格,未改错,C,合格,未改错,80,A,不合格,未改错,B-,合格,未改错,未交,未交,未改错,B-,不合格,合格,86,B-,合格,合格,B-,合格,未改错,B-,未交,合格,A,不合格,合格,B-,不合格,合格,93
